normRMSH;normCurv;gammaNorm;muT;normPullOff
0.0703854;48.0655;0.0884394;2.56225;0.000328327
0.0728827;48.9245;0.721586;2.62091;0.00322001
0.0477141;223.14;0.10845;0.270017;0.000816111
0.0791011;37.6587;0.54526;0.202298;0.145524
0.216646;5.27892;0.0305511;0.22062;0.00188688
0.0597378;93.0765;0.0126408;0.450499;0.005484
0.0934685;20.0097;0.0436761;0.469475;0.00140686
0.149075;8.53648;0.0463258;0.509746;0.000200089
0.116998;11.4114;0.0225245;0.52555;0.000444846
0.10696;14.0668;0.015465;0.464082;0.000428374
0.148825;8.50159;0.0131912;0.261743;0.000972667
0.0890797;26.2222;0.2926;0.424196;0.00109465
0.112774;14.5858;1.07738;0.466066;0.155153
0.0531116;135.626;0.0964382;0.217855;0.00313904
0.0564614;114.941;0.0126997;1.05633;2.44E-05
0.0763861;36.6445;0.042804;0.211493;0.000286097
0.0890797;26.2222;0.0431328;0.471765;7.69E-05
0.0931937;23.3652;0.108904;0.236331;0.00148662
0.0531116;135.626;0.0159471;0.256966;0.000608544
0.22509;5.1295;0.466748;0.319092;0.0704635
0.0858639;25.5193;0.0533883;0.217838;0.00135581
0.0564614;114.941;0.160628;0.230031;0.000920835
0.0791011;37.6587;0.554174;1.35657;0.00448722
0.223971;5.13797;0.0330741;3.30826;1.57E-05
0.0508133;180.221;0.139395;0.56366;4.74E-05
0.0728699;48.9235;0.221772;0.353803;0.0193213
0.054499;136.88;0.0119962;0.252712;0.010177
0.054499;136.88;0.0119962;0.252712;0.010177
